image_name,label,split
Russian_Blue_47.jpg,Russian_Blue,train
german_shorthaired_82.jpg,german_shorthaired,train
scottish_terrier_185.jpg,scottish_terrier,train
wheaten_terrier_33.jpg,wheaten_terrier,train
basset_hound_181.jpg,basset_hound,train
havanese_177.jpg,havanese,train
great_pyrenees_28.jpg,great_pyrenees,train
newfoundland_68.jpg,newfoundland,train
basset_hound_48.jpg,basset_hound,train
British_Shorthair_61.jpg,British_Shorthair,train
Maine_Coon_14.jpg,Maine_Coon,train
Birman_153.jpg,Birman,train
english_cocker_spaniel_53.jpg,english_cocker_spaniel,train
american_pit_bull_terrier_105.jpg,american_pit_bull_terrier,train
samoyed_106.jpg,samoyed,train
Siamese_186.jpg,Siamese,train
american_bulldog_16.jpg,american_bulldog,train
basset_hound_193.jpg,basset_hound,train
Egyptian_Mau_125.jpg,Egyptian_Mau,train
basset_hound_164.jpg,basset_hound,train
german_shorthaired_102.jpg,german_shorthaired,train
beagle_108.jpg,beagle,train
Russian_Blue_102.jpg,Russian_Blue,train
Russian_Blue_264.jpg,Russian_Blue,train
great_pyrenees_115.jpg,great_pyrenees,train
British_Shorthair_115.jpg,British_Shorthair,train
american_pit_bull_terrier_136.jpg,american_pit_bull_terrier,train
Bengal_144.jpg,Bengal,train
boxer_93.jpg,boxer,train
great_pyrenees_173.jpg,great_pyrenees,train
scottish_terrier_69.jpg,scottish_terrier,train
British_Shorthair_93.jpg,British_Shorthair,train
Russian_Blue_120.jpg,Russian_Blue,train
german_shorthaired_53.jpg,german_shorthaired,train
american_bulldog_61.jpg,american_bulldog,train
Sphynx_30.jpg,Sphynx,train
leonberger_77.jpg,leonberger,train
newfoundland_105.jpg,newfoundland,train
Maine_Coon_154.jpg,Maine_Coon,train
samoyed_186.jpg,samoyed,train
Bombay_189.jpg,Bombay,train
newfoundland_42.jpg,newfoundland,train
pug_200.jpg,pug,train
pug_167.jpg,pug,train
pug_38.jpg,pug,train
scottish_terrier_139.jpg,scottish_terrier,train
pomeranian_22.jpg,pomeranian,train
leonberger_19.jpg,leonberger,train
Siamese_51.jpg,Siamese,train
beagle_137.jpg,beagle,train
yorkshire_terrier_59.jpg,yorkshire_terrier,train
english_cocker_spaniel_200.jpg,english_cocker_spaniel,train
american_bulldog_200.jpg,american_bulldog,train
Bombay_168.jpg,Bombay,train
British_Shorthair_278.jpg,British_Shorthair,train
miniature_pinscher_21.jpg,miniature_pinscher,train
yorkshire_terrier_142.jpg,yorkshire_terrier,train
Abyssinian_108.jpg,Abyssinian,train
shiba_inu_110.jpg,shiba_inu,train
japanese_chin_69.jpg,japanese_chin,train
Egyptian_Mau_86.jpg,Egyptian_Mau,train
american_pit_bull_terrier_22.jpg,american_pit_bull_terrier,train
great_pyrenees_149.jpg,great_pyrenees,train
beagle_75.jpg,beagle,train
german_shorthaired_9.jpg,german_shorthaired,train
german_shorthaired_94.jpg,german_shorthaired,train
Egyptian_Mau_181.jpg,Egyptian_Mau,train
Sphynx_176.jpg,Sphynx,train
keeshond_81.jpg,keeshond,train
havanese_199.jpg,havanese,train
beagle_200.jpg,beagle,train
samoyed_28.jpg,samoyed,train
newfoundland_183.jpg,newfoundland,train
leonberger_79.jpg,leonberger,train
shiba_inu_5.jpg,shiba_inu,train
Persian_136.jpg,Persian,train
Russian_Blue_116.jpg,Russian_Blue,train
Bombay_184.jpg,Bombay,train
japanese_chin_73.jpg,japanese_chin,train
american_bulldog_43.jpg,american_bulldog,train
american_bulldog_217.jpg,american_bulldog,train
Abyssinian_49.jpg,Abyssinian,train
Ragdoll_250.jpg,Ragdoll,train
Bombay_102.jpg,Bombay,train
beagle_10.jpg,beagle,train
english_cocker_spaniel_195.jpg,english_cocker_spaniel,train
Persian_88.jpg,Persian,train
american_pit_bull_terrier_50.jpg,american_pit_bull_terrier,train
american_pit_bull_terrier_45.jpg,american_pit_bull_terrier,train
chihuahua_62.jpg,chihuahua,train
pug_62.jpg,pug,train
japanese_chin_95.jpg,japanese_chin,train
Birman_26.jpg,Birman,train
japanese_chin_1.jpg,japanese_chin,train
german_shorthaired_8.jpg,german_shorthaired,train
Persian_170.jpg,Persian,train
american_bulldog_115.jpg,american_bulldog,train
Sphynx_195.jpg,Sphynx,train
beagle_44.jpg,beagle,train
Egyptian_Mau_184.jpg,Egyptian_Mau,train
shiba_inu_58.jpg,shiba_inu,train
Bengal_109.jpg,Bengal,train
english_cocker_spaniel_105.jpg,english_cocker_spaniel,train
Persian_83.jpg,Persian,train
staffordshire_bull_terrier_110.jpg,staffordshire_bull_terrier,train
Birman_86.jpg,Birman,train
Abyssinian_181.jpg,Abyssinian,train
great_pyrenees_194.jpg,great_pyrenees,train
Persian_87.jpg,Persian,train
Ragdoll_171.jpg,Ragdoll,train
yorkshire_terrier_169.jpg,yorkshire_terrier,train
miniature_pinscher_193.jpg,miniature_pinscher,train
saint_bernard_65.jpg,saint_bernard,train
havanese_155.jpg,havanese,train
Birman_50.jpg,Birman,train
Egyptian_Mau_99.jpg,Egyptian_Mau,train
Ragdoll_170.jpg,Ragdoll,train
scottish_terrier_154.jpg,scottish_terrier,train
scottish_terrier_43.jpg,scottish_terrier,train
boxer_170.jpg,boxer,train
Abyssinian_52.jpg,Abyssinian,train
havanese_101.jpg,havanese,train
miniature_pinscher_9.jpg,miniature_pinscher,train
english_cocker_spaniel_68.jpg,english_cocker_spaniel,train
Birman_55.jpg,Birman,train
basset_hound_126.jpg,basset_hound,train
